# {"t_start": 1596457697.7324684, "env_id": "Ant-v2"} 
r,l,t
-38.553017,11,133.650926
-2642.131195,1000,135.941859
-60.999191,18,135.97275
-223.975562,86,136.151254
-28.045902,10,136.1712
-62.771315,16,136.206074
-259.113368,86,136.384602
-51.701945,16,136.419535
-93.151377,30,136.483364
-51.134283,17,136.532202
-38.846557,18,136.590046
-58.117041,17,136.640912
-65.332121,17,136.676848
-108.629612,42,136.767604
-76.791133,27,136.824457
-97.976204,27,136.8813
-71.431628,21,136.926181
-172.849168,54,137.038462
-51.218822,20,137.082345
-297.832681,92,137.305749
-64.728331,17,137.343704
-48.107268,20,137.385611
-116.630948,35,137.458998
-54.1151,29,137.520828
-110.094885,35,137.598588
-105.764403,54,137.708331
-129.619647,52,137.816006
-60.736549,19,137.860919
-139.511576,37,137.936718
-701.037896,213,138.385519
-251.500833,109,138.611597
-86.185374,34,138.680956
-150.852144,50,138.787004
-147.552329,47,139.01985
-32.489329,16,139.052795
-32.399797,14,139.081989
-669.803134,194,139.499604
-66.191595,32,139.576627
-104.645438,34,139.656414
-368.704496,121,139.894743
-193.708868,64,140.007441
-108.271022,33,140.066284
-363.730532,99,140.271181
-67.139998,18,140.312071
-242.73095,73,140.472642
-433.606881,152,140.747904
-48.039169,13,140.770352
-145.115622,48,140.862108
-54.28356,26,140.918955
-187.723104,69,141.086507
-139.493038,66,141.233115
-227.817333,70,141.35673
-47.477765,19,141.383863
-310.842986,129,141.625574
-164.923231,46,141.726339
-370.654955,107,141.967661
-44.251844,15,142.000607
-182.939667,75,142.165172
-156.585084,57,142.287838
-790.586499,242,142.817425
-24.627411,10,142.840361
-919.610544,353,143.766897
-74.783561,22,143.815732
-112.971909,54,143.937439
-21.871307,9,143.962373
-31.623008,12,143.991295
-51.660994,24,144.045151
-81.941667,32,144.115927
-78.693888,22,144.1638
-108.550262,40,144.252597
-66.601477,24,144.305456
-113.599326,37,144.390194
-54.39478,25,144.446046
-23.538353,12,144.47301
-111.220745,32,144.543818
-216.012488,58,144.671475
-162.507984,49,144.77819
-242.647113,83,144.961699
-72.9959,27,145.021544
-2663.029412,1000,147.221627
-40.817157,12,147.244564
-125.803169,29,147.284204
-124.611181,29,147.346374
-53.86891,22,147.389259
-102.211897,55,147.491985
-170.379384,82,147.648566
-44.081214,13,147.672503
-77.654294,23,147.725362
-179.545634,46,147.841053
-123.313527,42,148.052486
-43.092494,12,148.075459
-38.955922,16,148.105378
-53.666587,17,148.136262
-36.343578,18,148.168177
-184.211311,55,148.265916
-80.39309,29,148.31678
-102.30963,43,148.390583
-36.97319,16,148.420503
-99.566429,34,148.481341
-79.683486,33,148.540183
-222.09505,63,148.64947
-24.56716,11,148.669416
-139.495348,57,148.771145
-42.480751,15,148.798072
-78.038496,27,148.848937
-205.252704,97,149.065354
-87.775976,38,149.144141
-51.200897,19,149.18101
-109.269168,45,149.25223
-2591.966211,1000,151.146486
-97.723993,37,151.210087
-53.092133,23,151.25122
-186.524818,61,151.344332
-136.087076,63,151.453682
-153.784238,52,151.54741
-119.32039,38,151.618976
-70.938747,31,151.673829
-81.949891,40,151.743643
-100.743878,25,151.787526
-232.829671,80,152.039884
-58.316648,17,152.069805
-135.593279,54,152.165549
-20.92634,19,152.198461
-29.690315,11,152.218407
-32.901908,10,152.235363
-229.502357,81,152.374988
-47.011956,19,152.408899
-171.291597,66,152.522596
-430.04116,133,152.753663
-387.769686,148,153.009979
-36.78296,40,153.079758
-54.119166,24,153.12168
-83.623739,37,153.18551
-43.489362,24,153.226836
-254.790615,115,153.414294
